id, date&time, amount, from_id, to_id, type

16,2022-03-28T21:57:22.293235400Z,300.0,99999999-1,30970859-1,Borrowing
15,2022-03-28T21:57:22.293235400Z,100.0,18392702-a,99999999-1,Lending
14,2022-03-28T21:57:22.293235400Z,200.0,00243584-a,99999999-1,Lending
13,2022-03-28T21:57:22.293235400Z,600.0,99999999-1,60023945-1,Borrowing
12,2022-03-28T21:57:22.293235400Z,600.0,00243584-a,99999999-1,Lending
11,2022-03-28T21:57:22.293235400Z,1275.0,18392702-1,18392702-a,Transfer
10,2022-03-28T21:57:22.293235400Z,950.0,00243584-1,00243584-a,Transfer
9,2022-03-28T21:57:22.293235400Z,400.0,00243584-1,00243584-a,Transfer
8,2022-03-28T21:57:22.293235400Z,987.0,18392702-1,18392702-a,Transfer
7,2022-03-28T21:57:22.293235400Z,800.0,00243584-1,00243584-a,Transfer
6,2022-03-28T21:57:22.293235400Z,50.0,60023945-1,60023945-2,Transfer
5,2022-03-28T21:55:37.154845400Z,350.0,60023945-1,60023945-2,Transfer
4,2022-03-28T20:45:37.842698700Z,500.0,60023945-2,30970859-1,Payment 
3,2022-03-27T23:45:37.842698700Z,500.0,60023945-2,60023945-1,Transfer
2,2022-03-26T23:45:37.842698700Z,500.0,60023945-2,60023945-1,Transfer
1,2022-03-26T23:04:15.658170Z,150.0,60023945-1,60023945-2,Transfer
